Location,Price,Rooms,Bathrooms,Car Parks,Furnishing,SizeType,SizeValue,Property Type Supergroup
KLCC,1250000.0,2.0,3.0,2.0,Fully Furnished,Built-up,1335.0,Serviced Residence
Damansara Heights,6800000.0,3.0,7.0,0.0,Partly Furnished,Land area,6900.0,Bungalow
Dutamas,1030000.0,3.0,4.0,2.0,Partly Furnished,Built-up,1875.0,Condominium
Bukit Jalil,900000.0,2.0,3.0,2.0,Partly Furnished,Built-up,1513.0,Condominium
Taman Tun Dr Ismail,5350000.0,3.0,5.0,4.0,Partly Furnished,Land area,7200.0,Bungalow
Taman Tun Dr Ismail,2600000.0,3.0,4.0,4.0,Partly Furnished,Land area,3600.0,Semi-detached House
Taman Tun Dr Ismail,1950000.0,2.0,4.0,3.0,Partly Furnished,Land area,0.0,Terrace/Link House
Sri Petaling,385000.0,3.0,2.0,1.0,Partly Furnished,Built-up,904.0,Apartment
Taman Tun Dr Ismail,1680000.0,3.0,3.0,0.0,Partly Furnished,Land area,0.0,Terrace/Link House
Taman Tun Dr Ismail,1700000.0,2.0,3.0,0.0,Partly Furnished,Land area,1900.0,Terrace/Link House
Taman Tun Dr Ismail,4580000.0,4.0,5.0,5.0,Partly Furnished,Land area,6000.0,Bungalow
Taman Tun Dr Ismail,3100000.0,2.0,3.0,0.0,Partly Furnished,Land area,3600.0,Semi-detached House
Bukit Tunku (Kenny Hills),9000000.0,4.0,7.0,4.0,Partly Furnished,Land area,8500.0,Bungalow
Damansara Heights,4500000.0,3.0,7.0,0.0,Partly Furnished,Built-up,4842.0,Bungalow
Mont Kiara,1780000.0,2.0,4.0,2.0,Partly Furnished,Built-up,1830.0,Condominium
Mont Kiara,3450000.0,2.0,6.0,3.0,Fully Furnished,Built-up,3720.0,Condominium
Desa ParkCity,1500000.0,2.0,4.0,2.0,Partly Furnished,Built-up,1798.0,Condominium
Damansara Heights,1550000.0,3.0,1.0,1.0,Fully Furnished,Built-up,904.0,Serviced Residence
Mont Kiara,1500000.0,2.0,4.0,3.0,Fully Furnished,Built-up,2163.0,Condominium
Mont Kiara,1450000.0,2.0,4.0,0.0,Fully Furnished,Built-up,2163.0,Condominium
Bangsar South,490000.0,3.0,1.0,1.0,Fully Furnished,Built-up,520.0,Serviced Residence
Bukit Jalil,610000.0,2.0,2.0,2.0,Partly Furnished,Built-up,1236.0,Condominium
Dutamas,1035880.0,2.0,4.0,1.0,Partly Furnished,Built-up,1876.0,Condominium
Mont Kiara,1830000.0,3.0,4.0,0.0,Partly Furnished,Built-up,1668.0,Condominium
Ampang Hilir,3300000.0,2.0,4.0,4.0,Unfurnished,Built-up,3536.0,Condominium
Kepong,560000.0,3.0,2.0,0.0,Partly Furnished,Land area,0.0,Terrace/Link House
