Location,Price,Rooms,Bathrooms,Car Parks,Furnishing,SizeType,SizeValue,Property Type Supergroup
45,1250000.0,2.0,3.0,2.0,0,1,1335.0,7
27,6800000.0,3.0,7.0,0.0,1,2,6900.0,1
31,1030000.0,3.0,4.0,2.0,1,1,1875.0,3
16,900000.0,2.0,3.0,2.0,1,1,1513.0,3
90,5350000.0,3.0,5.0,4.0,1,2,7200.0,1
90,2600000.0,3.0,4.0,4.0,1,2,3600.0,6
90,1950000.0,2.0,4.0,3.0,1,2,0.0,8
78,385000.0,3.0,2.0,1.0,1,1,904.0,0
90,1680000.0,3.0,3.0,0.0,1,2,0.0,8
90,1700000.0,2.0,3.0,0.0,1,2,1900.0,8
90,4580000.0,4.0,5.0,5.0,1,2,6000.0,1
90,3100000.0,2.0,3.0,0.0,1,2,3600.0,6
19,9000000.0,4.0,7.0,4.0,1,2,8500.0,1
27,4500000.0,3.0,7.0,0.0,1,1,4842.0,1
55,1780000.0,2.0,4.0,2.0,1,1,1830.0,3
55,3450000.0,2.0,6.0,3.0,0,1,3720.0,3
29,1500000.0,2.0,4.0,2.0,1,1,1798.0,3
27,1550000.0,3.0,1.0,1.0,0,1,904.0,7
55,1500000.0,2.0,4.0,3.0,0,1,2163.0,3
55,1450000.0,2.0,4.0,0.0,0,1,2163.0,3
10,490000.0,3.0,1.0,1.0,0,1,520.0,7
16,610000.0,2.0,2.0,2.0,1,1,1236.0,3
31,1035880.0,2.0,4.0,1.0,1,1,1876.0,3
55,1830000.0,3.0,4.0,0.0,1,1,1668.0,3
3,3300000.0,2.0,4.0,4.0,2,1,3536.0,3
47,560000.0,3.0,2.0,0.0,1,2,0.0,8
3,460000.0,3.0,1.0,1.0,0,1,613.0,7
45,2400000.0,3.0,2.0,1.0,0,1,1006.0,7
55,2290710.0,2.0,4.0,0.0,2,1,2767.0,3
55,2284620.0,3.0,4.0,0.0,2,1,2702.0,3
37,1438000.0,2.0,4.0,3.0,1,1,2378.0,3
55,1720000.0,2.0,6.0,3.0,1,1,2020.0,3
45,3600000.0,3.0,4.0,0.0,1,1,3897.0,7
45,4280000.0,2.0,4.0,2.0,0,1,2195.0,7
45,2300000.0,3.0,2.0,1.0,1,1,1023.0,7
27,4200000.0,3.0,5.0,5.0,1,2,5274.0,1
79,900000.0,3.0,5.0,3.0,0,2,0.0,8
45,2700000.0,2.0,4.0,3.0,0,1,3095.0,7
55,1080000.0,3.0,2.0,1.0,0,1,896.0,7
55,1150000.0,3.0,2.0,2.0,1,1,1200.0,3
16,1070000.0,2.0,4.0,4.0,1,1,1772.0,3
16,930000.0,3.0,3.0,2.0,1,1,1513.0,3
10,780000.0,3.0,2.0,1.0,1,1,880.0,7
45,4098000.0,2.0,3.0,2.0,1,1,2066.0,7
42,1800000.0,3.0,2.0,1.0,0,1,1244.0,7
55,3600000.0,3.0,6.0,0.0,0,1,4090.0,3
55,2300000.0,2.0,5.0,2.0,1,1,2702.0,3
45,4000000.0,2.0,3.0,2.0,0,1,2250.0,3
3,4800000.0,3.0,6.0,3.0,1,1,4300.0,3
3,3780000.0,2.0,5.0,4.0,1,1,3628.0,3
10,850000.0,2.0,2.0,1.0,0,1,1050.0,7
55,1850000.0,2.0,4.0,0.0,1,1,2347.0,3
45,1698800.0,3.0,2.0,1.0,0,1,1227.0,7
79,999000.0,2.0,4.0,2.0,1,1,2512.0,8
44,3500000.0,3.0,1.0,1.0,1,1,1648.0,7
45,1500000.0,3.0,2.0,1.0,0,1,1022.0,7
45,2300000.0,3.0,2.0,1.0,1,1,1023.0,7
55,1830000.0,2.0,4.0,2.0,1,1,1830.0,3
87,750000.0,3.0,3.0,3.0,1,2,0.0,8
72,580000.0,2.0,2.0,2.0,1,1,1550.0,3
45,3000000.0,2.0,3.0,3.0,2,1,2066.0,7
55,2180000.0,2.0,4.0,3.0,1,1,3000.0,3
45,2030000.0,2.0,5.0,2.0,0,1,2356.0,3
55,3450000.0,2.0,6.0,3.0,0,1,3720.0,3
24,4080000.0,2.0,5.0,2.0,1,1,3713.0,3
90,2880000.0,2.0,3.0,4.0,1,2,4244.0,8
45,1799000.0,3.0,1.0,1.0,0,1,720.0,7
45,1820000.0,2.0,2.0,2.0,0,1,1159.0,3
45,1000000.0,2.0,3.0,2.0,1,1,1313.0,7
45,1650000.0,2.0,5.0,2.0,0,1,1905.0,3
45,2300000.0,3.0,1.0,2.0,1,1,1023.0,7
55,2400000.0,2.0,5.0,3.0,1,2,2702.0,3
45,2055000.0,1.0,1.0,1.0,1,1,797.0,7
45,1714000.0,3.0,1.0,1.0,1,1,700.0,7
16,620000.0,3.0,2.0,0.0,1,1,1232.0,3
16,1720000.0,4.0,7.0,0.0,2,2,3033.0,8
45,2300000.0,2.0,4.0,3.0,1,1,3282.0,7
16,920000.0,2.0,3.0,2.0,1,1,1513.0,3
45,2300000.0,3.0,1.0,2.0,1,1,1046.0,7
90,4995000.0,3.0,7.0,6.0,1,2,8113.0,1
90,1630000.0,3.0,3.0,2.0,1,2,0.0,8
55,1850000.0,2.0,4.0,2.0,1,1,1830.0,3
45,1783000.0,3.0,2.0,1.0,1,1,976.0,3
31,1180000.0,2.0,4.0,1.0,1,1,1942.0,3
16,900000.0,2.0,3.0,2.0,1,1,1513.0,3
24,1700000.0,2.0,2.0,1.0,0,1,1442.0,7
45,850000.0,3.0,2.0,0.0,0,1,761.0,7
27,6800000.0,4.0,7.0,0.0,2,2,7000.0,1
55,3100000.0,2.0,6.0,3.0,0,1,3400.0,3
16,630000.0,3.0,2.0,2.0,1,1,791.0,7
47,2040000.0,3.0,5.0,4.0,1,2,0.0,8
45,1780000.0,3.0,1.0,1.0,0,1,728.0,7
29,2850000.0,2.0,3.0,0.0,1,1,3211.0,8
29,1050000.0,2.0,2.0,2.0,1,1,1389.0,3
55,2600000.0,2.0,4.0,3.0,1,1,3041.0,3
10,630000.0,1.0,1.0,1.0,1,1,663.0,7
45,3364000.0,2.0,2.0,2.0,0,1,1399.0,7
16,978000.0,2.0,3.0,2.0,1,1,1513.0,3
45,3600000.0,2.0,5.0,2.0,1,1,3897.0,7
45,3600000.0,2.0,5.0,2.0,1,1,3897.0,7
45,2000000.0,3.0,1.0,1.0,0,1,1087.0,7
55,1630000.0,2.0,4.0,2.0,1,1,2065.0,3
90,1280000.0,3.0,3.0,3.0,1,2,0.0,8
45,1250000.0,3.0,2.0,1.0,1,1,736.0,3
10,630000.0,1.0,1.0,1.0,0,1,650.0,7
45,1350000.0,3.0,2.0,1.0,0,1,1050.0,7
10,490000.0,3.0,1.0,1.0,0,1,500.0,7
10,800000.0,3.0,2.0,1.0,1,1,825.0,7
29,1980000.0,2.0,4.0,0.0,1,1,2200.0,8
31,1035000.0,2.0,5.0,2.0,3,1,1853.0,3
45,1000000.0,3.0,1.0,1.0,0,1,657.0,3
79,448800.0,3.0,3.0,1.0,2,1,1045.0,7
27,4900000.0,3.0,6.0,0.0,0,2,3700.0,6
